archivo,modelo,call@1,exe@1,error
div.py,DeepSeek V4 Pro,✗,✗,
fused_bmm_rmsnorm_gelu_dropout_sub.py,DeepSeek V4 Pro,✗,✗,
sigmoid_conv2d.py,DeepSeek V4 Pro,✗,✗,
tanh.py,DeepSeek V4 Pro,✗,✗,
relu_sqrt.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_4: dtype torch.int64 != torch.float32
sqrt.py,DeepSeek V4 Pro,✓,✓,
solve_multiple_lu.py,DeepSeek V4 Pro,✓,✓,
sub.py,DeepSeek V4 Pro,✓,✓,
sigmoid_argmax.py,DeepSeek V4 Pro,✗,✗,
svd.py,DeepSeek V4 Pro,✗,✗,
rsqrt.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_3: tensor values differ
i0.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_mv_logsoftmax_dropout.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
add.py,DeepSeek V4 Pro,✗,✗,
dropout_relu_batch_norm_conv2d.py,DeepSeek V4 Pro,✗,✗,
fused_index_select_eq.py,DeepSeek V4 Pro,✗,✗,
argmax.py,DeepSeek V4 Pro,✗,✗,
fused_lu_solve.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: type Tensor != str
normalize_pairwise_distance.py,DeepSeek V4 Pro,✗,✗,
max.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1[0]: tensor values differ; test_results.test_case_1[1]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_2[1]: tensor values differ; test_results.test_case_3[0]: tensor values differ; test_results.test_case_3[1]: tensor values differ; test_results.test_case_4[0]: tensor values differ; test_results.test_case_4[1]: tensor values differ
relu.py,DeepSeek V4 Pro,✓,✓,
log_softmax_linear.py,DeepSeek V4 Pro,✗,✗,
least_squares_qr.py,DeepSeek V4 Pro,✗,✗,
determinant_via_qr.py,DeepSeek V4 Pro,✓,✓,
sqrt_tanh.py,DeepSeek V4 Pro,✗,✗,
fused_tile_exp.py,DeepSeek V4 Pro,✗,✗,
silu_batch_norm.py,DeepSeek V4 Pro,✗,✗,
index_fill_.py,DeepSeek V4 Pro,✗,✗,
mean.py,DeepSeek V4 Pro,✓,✓,
fused_cross_entropy_softmax_layernorm.py,DeepSeek V4 Pro,✗,✗,
logsumexp.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ
eig.py,DeepSeek V4 Pro,✗,✗,
fused_mv_sigmoid_sub.py,DeepSeek V4 Pro,✗,✗,
add_gelu.py,DeepSeek V4 Pro,✗,✗,
fused_cosine_embedding_loss_with_normalization.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_embedding_add_tanh.py,DeepSeek V4 Pro,✗,✗,
log1p.py,DeepSeek V4 Pro,✗,✗,
fused_transformer_block.py,DeepSeek V4 Pro,✗,✗,
sigmoid_batch_norm.py,DeepSeek V4 Pro,✗,✗,
zeta.py,DeepSeek V4 Pro,✗,✗,
fused_hardsigmoid_batch_norm.py,DeepSeek V4 Pro,✗,✗,
symmetric_matrix_vector_norm.py,DeepSeek V4 Pro,✗,✗,
softplus_linear.py,DeepSeek V4 Pro,✗,✗,
fused_svd_reconstruct.py,DeepSeek V4 Pro,✗,✗,
selu.py,DeepSeek V4 Pro,✗,✗,
scaled_add_norm.py,DeepSeek V4 Pro,✓,✓,
fused_mul_add_logsoftmax_dropout_bmm.py,DeepSeek V4 Pro,✗,✗,
sqrt_exp.py,DeepSeek V4 Pro,✓,✓,
cos_avg_pool1d.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
leaky_relu_conv2d.py,DeepSeek V4 Pro,✗,✗,
sum_std.py,DeepSeek V4 Pro,✗,✗,
mul_relu.py,DeepSeek V4 Pro,✓,✓,
gelu_conv2d.py,DeepSeek V4 Pro,✗,✗,
fused_instance_norm_selu_conv2d.py,DeepSeek V4 Pro,✗,✗,
chebyshev_polynomial_t.py,DeepSeek V4 Pro,✗,✗,
logit.py,DeepSeek V4 Pro,✓,✓,
solve_symmetric_ldl.py,DeepSeek V4 Pro,✗,✗,
exp_sqrt.py,DeepSeek V4 Pro,✓,✓,
scaled_add_dot.py,DeepSeek V4 Pro,✗,✗,
combined_activation.py,DeepSeek V4 Pro,✗,✗,
tensordot.py,DeepSeek V4 Pro,✗,✗,
asin.py,DeepSeek V4 Pro,✗,✗,
qr.py,DeepSeek V4 Pro,✓,✗,"test_results.test_case_1[0]: tensor values differ; test_results.test_case_1[1]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_2[1]: tensor values differ; test_results.test_case_3[0]: shape (2, 2) != (0,); test_results.test_case_3[1]: tensor values differ; test_results.test_case_4[0]: tensor values differ; test_results.test_case_4[1]: tensor values differ"
fused_pairwise_distance_adaptive_avg_pool2d.py,DeepSeek V4 Pro,✗,✗,
fused_masked_select_add_gelu.py,DeepSeek V4 Pro,✗,✗,
fused_layer_norm_relu_linear.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
add_mean.py,DeepSeek V4 Pro,✗,✗,
SGD.py,DeepSeek V4 Pro,✗,✗,
fused_add_mul_groupnorm.py,DeepSeek V4 Pro,✗,✗,
conv2d.py,DeepSeek V4 Pro,✗,✗,
normalized_cosine_similarity.py,DeepSeek V4 Pro,✗,✗,
fused_cholesky_solve.py,DeepSeek V4 Pro,✗,✗,
matmul.py,DeepSeek V4 Pro,✗,✗,
fused_cross_entropy_log_softmax.py,DeepSeek V4 Pro,✗,✗,
fused_gather_masked_fill.py,DeepSeek V4 Pro,✗,✗,
addmm.py,DeepSeek V4 Pro,✓,✓,
sigmoid_adaptive_avg_pool2d.py,DeepSeek V4 Pro,✗,✗,
cos.py,DeepSeek V4 Pro,✓,✓,
fused_bmm_dropout_gelu.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
trunc.py,DeepSeek V4 Pro,✓,✓,
log_tanh.py,DeepSeek V4 Pro,✗,✗,
exp.py,DeepSeek V4 Pro,✓,✓,
matrix_multiply_symmetric.py,DeepSeek V4 Pro,✓,✓,
matrix_power_eig.py,DeepSeek V4 Pro,✗,✗,
fused_hardshrink_dropout.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_avg_pool2d_cosine_similarity.py,DeepSeek V4 Pro,✗,✗,
tensordot_rsqrt.py,DeepSeek V4 Pro,✓,✓,
erfc_sqrt.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1[0]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_3[0]: tensor values differ; test_results.test_case_4[0]: tensor values differ
dropout_sigmoid_linear.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
softmax_log.py,DeepSeek V4 Pro,✗,✗,
gammaln.py,DeepSeek V4 Pro,✗,✗,
batch_norm.py,DeepSeek V4 Pro,✗,✗,
bitwise_and.py,DeepSeek V4 Pro,✗,✗,
sub_gelu.py,DeepSeek V4 Pro,✗,✗,
gelu_std.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
permute_copy.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_4: tensor values differ
softmax_mul.py,DeepSeek V4 Pro,✗,✗,
digamma.py,DeepSeek V4 Pro,✗,✗,
rad2deg_sqrt.py,DeepSeek V4 Pro,✓,✓,
bitwise_and_binomial.py,DeepSeek V4 Pro,✗,✗,
bessel_j1.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
gelu_min.py,DeepSeek V4 Pro,✗,✗,
lu.py,DeepSeek V4 Pro,✓,✗,"test_results.test_case_1[1]: tensor values differ; test_results.test_case_1[2]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_2[1]: tensor values differ; test_results.test_case_2[2]: tensor values differ; test_results.test_case_3[0]: shape (2, 2) != (0,); test_results.test_case_3[1]: tensor values differ; test_results.test_case_3[2]: tensor values differ; test_results.test_case_4[0]: tensor values differ; test_results.test_case_4[1]: tensor values differ; test_results.test_case_4[2]: tensor values differ"
pseudoinverse_svd.py,DeepSeek V4 Pro,✓,✓,
exp_mean.py,DeepSeek V4 Pro,✗,✗,
low_rank_svd_approximation.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
min.py,DeepSeek V4 Pro,✗,✗,
symmetric_mm_and_abs_sum.py,DeepSeek V4 Pro,✓,✓,
determinant_lu.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
tanh_linear.py,DeepSeek V4 Pro,✗,✗,reference execution failed
sum.py,DeepSeek V4 Pro,✓,✓,
logspace.py,DeepSeek V4 Pro,✗,✗,
solve_and_add_scaled_vector.py,DeepSeek V4 Pro,✗,✗,
pixel_shuffle_conv2d.py,DeepSeek V4 Pro,✗,✗,
matrix_vector_dot.py,DeepSeek V4 Pro,✓,✓,
min_gelu.py,DeepSeek V4 Pro,✗,✗,
pow.py,DeepSeek V4 Pro,✗,✗,
erf.py,DeepSeek V4 Pro,✓,✓,
sigmoid.py,DeepSeek V4 Pro,✓,✓,
gelu.py,DeepSeek V4 Pro,✗,✗,
relu_max_pool2d_conv2d.py,DeepSeek V4 Pro,✗,✗,
det.py,DeepSeek V4 Pro,✗,✗,
floor.py,DeepSeek V4 Pro,✗,✗,
rand.py,DeepSeek V4 Pro,✗,✗,
fused_bmm_rmsnorm_gelu_dropout.py,DeepSeek V4 Pro,✗,✗,
mul_sub.py,DeepSeek V4 Pro,✗,✗,
ldl_factor.py,DeepSeek V4 Pro,✗,✗,Can't get attribute 'LDLResult' on <module '__main__' from '/content/KernelForge/notebooks/evaluate/run_eval.py'>
abs.py,DeepSeek V4 Pro,✓,✓,
cholesky_solve.py,DeepSeek V4 Pro,✗,✗,
mul.py,DeepSeek V4 Pro,✗,✗,
leaky_relu.py,DeepSeek V4 Pro,✓,✓,
softmax.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_4: tensor values differ
invert_matrix_lu.py,DeepSeek V4 Pro,✗,✗,
tril_mm_and_scale.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ
std.py,DeepSeek V4 Pro,✗,✗,
airy_ai.py,DeepSeek V4 Pro,✗,✗,
signbit.py,DeepSeek V4 Pro,✗,✗,
solve.py,DeepSeek V4 Pro,✗,✗,
matrix_multiply_and_row_dot.py,DeepSeek V4 Pro,✓,✓,
elu_linear.py,DeepSeek V4 Pro,✗,✗,
fused_pairwise_distance_normalize.py,DeepSeek V4 Pro,✗,✗,
polygamma.py,DeepSeek V4 Pro,✓,✓,
fused_hstack_div.py,DeepSeek V4 Pro,✗,✗,
Adam.py,DeepSeek V4 Pro,✓,✗,"test_results.test_case_1: keys dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused']) != dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused', 'decoupled_weight_decay']); test_results.test_case_2: keys dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused']) != dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused', 'decoupled_weight_decay']); test_results.test_case_3: keys dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused']) != dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused', 'decoupled_weight_decay']); test_results.test_case_4: keys dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused']) != dict_keys(['lr', 'betas', 'eps', 'weight_decay', 'amsgrad', 'maximize', 'foreach', 'capturable', 'differentiable', 'fused', 'decoupled_weight_decay'])"
broadcast_tensors.py,DeepSeek V4 Pro,✗,✗,
log.py,DeepSeek V4 Pro,✓,✓,
adaptive_avg_pool2d.py,DeepSeek V4 Pro,✗,✗,reference execution failed
quantize_dynamic.py,DeepSeek V4 Pro,✗,✗,reference execution failed
relu_conv2d.py,DeepSeek V4 Pro,✗,✗,
conv2d_add.py,DeepSeek V4 Pro,✗,✗,
signbit_bitwise_and.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_3[1]: dtype torch.bool != torch.int8
ifftshift.py,DeepSeek V4 Pro,✗,✗,
fused_repeat_interleave_log_softmax.py,DeepSeek V4 Pro,✗,✗,
ones_like.py,DeepSeek V4 Pro,✗,✗,
cholesky.py,DeepSeek V4 Pro,✗,✗,
autocast.py,DeepSeek V4 Pro,✓,✓,
reciprocal.py,DeepSeek V4 Pro,✓,✓,
cos_signbit.py,DeepSeek V4 Pro,✓,✓,
spectral_norm_eig.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_2: tensor values differ; test_results.test_case_4: tensor values differ
fftn.py,DeepSeek V4 Pro,✗,✗,
grid_sample.py,DeepSeek V4 Pro,✗,✗,
fused_silu_layer_norm_conv2d.py,DeepSeek V4 Pro,✗,✗,
fused_fractional_max_pool2d_with_relu.py,DeepSeek V4 Pro,✗,✗,
relu_batch_norm_conv2d.py,DeepSeek V4 Pro,✗,✗,reference execution failed
fused_qr_solve.py,DeepSeek V4 Pro,✗,✗,
grid_sample_with_affine.py,DeepSeek V4 Pro,✗,✗,
fused_bmm_rmsnorm_gelu_dropout_sub.py,GPT 5.4,✗,✗,
div.py,GPT 5.4,✓,✓,
sigmoid_conv2d.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
tanh.py,GPT 5.4,✓,✗,test_results.test_case_3: tensor values differ
solve_multiple_lu.py,GPT 5.4,✓,✗,test_results.test_case_4: tensor values differ
relu_sqrt.py,GPT 5.4,✗,✗,
sqrt.py,GPT 5.4,✓,✓,
rsqrt.py,GPT 5.4,✓,✗,test_results.test_case_3: tensor values differ
i0.py,GPT 5.4,✓,✓,
fused_index_select_eq.py,GPT 5.4,✓,✓,
fused_silu_layer_norm_conv2d.py,GPT 5.4,✗,✗,
sub.py,GPT 5.4,✗,✗,
sigmoid_argmax.py,GPT 5.4,✗,✗,
fused_mv_logsoftmax_dropout.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
dropout_relu_batch_norm_conv2d.py,GPT 5.4,✗,✗,
relu.py,GPT 5.4,✓,✓,
argmax.py,GPT 5.4,✗,✗,
svd.py,GPT 5.4,✗,✗,
add.py,GPT 5.4,✗,✗,
grid_sample.py,GPT 5.4,✗,✗,
log_softmax_linear.py,GPT 5.4,✗,✗,
sqrt_tanh.py,GPT 5.4,✗,✗,
max.py,GPT 5.4,✗,✗,
normalize_pairwise_distance.py,GPT 5.4,✗,✗,
silu_batch_norm.py,GPT 5.4,✗,✗,
least_squares_qr.py,GPT 5.4,✓,✓,
fused_lu_solve.py,GPT 5.4,✓,✗,test_results.test_case_4: type Tensor != str
determinant_via_qr.py,GPT 5.4,✗,✗,
fused_tile_exp.py,GPT 5.4,✗,✗,
index_fill_.py,GPT 5.4,✗,✗,
log1p.py,GPT 5.4,✓,✓,
fused_cross_entropy_softmax_layernorm.py,GPT 5.4,✗,✗,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
mean.py,GPT 5.4,✓,✓,
fused_cosine_embedding_loss_with_normalization.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
sigmoid_batch_norm.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
zeta.py,GPT 5.4,✓,✗,test_results.test_case_4: tensor values differ
symmetric_matrix_vector_norm.py,GPT 5.4,✗,✗,
fused_embedding_add_tanh.py,GPT 5.4,✗,✗,
fused_transformer_block.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
add_gelu.py,GPT 5.4,✗,✗,
eig.py,GPT 5.4,✗,✗,
logsumexp.py,GPT 5.4,✗,✗,
fused_mv_sigmoid_sub.py,GPT 5.4,✓,✓,
leaky_relu_conv2d.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_svd_reconstruct.py,GPT 5.4,✓,✓,
scaled_add_norm.py,GPT 5.4,✓,✗,test_results.test_case_2: 2.9580397605895996 != 2.9580399990081787; test_results.test_case_3: 3.741657257080078 != 3.7416574954986572; test_results.test_case_4: 3.741657257080078 != 3.7416574954986572
softplus_linear.py,GPT 5.4,✓,✓,
mul_relu.py,GPT 5.4,✓,✓,
cos_avg_pool1d.py,GPT 5.4,✗,✗,
fused_hardsigmoid_batch_norm.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
selu.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ
chebyshev_polynomial_t.py,GPT 5.4,✗,✗,
fused_mul_add_logsoftmax_dropout_bmm.py,GPT 5.4,✗,✗,
sum_std.py,GPT 5.4,✗,✗,
gelu_conv2d.py,GPT 5.4,✗,✗,
exp_sqrt.py,GPT 5.4,✓,✓,
logit.py,GPT 5.4,✓,✓,
sqrt_exp.py,GPT 5.4,✓,✓,
asin.py,GPT 5.4,✓,✓,
scaled_add_dot.py,GPT 5.4,✓,✓,
fused_fractional_max_pool2d_with_relu.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3[0]: tensor values differ; test_results.test_case_3[1]: tensor values differ; test_results.test_case_4: tensor values differ
tensordot.py,GPT 5.4,✗,✗,
solve_symmetric_ldl.py,GPT 5.4,✗,✗,
add_mean.py,GPT 5.4,✗,✗,
SGD.py,GPT 5.4,✗,✗,
combined_activation.py,GPT 5.4,✗,✗,
fused_pairwise_distance_adaptive_avg_pool2d.py,GPT 5.4,✓,✗,"test_results.test_case_1: shape (2, 8, 8) != (2,); test_results.test_case_2: shape (2, 16, 16) != (2,); test_results.test_case_3: shape (2, 8, 8) != (2,); test_results.test_case_4: shape (2, 1, 8, 8) != (2, 1, 1, 1)"
fused_masked_select_add_gelu.py,GPT 5.4,✗,✗,
fused_layer_norm_relu_linear.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_cholesky_solve.py,GPT 5.4,✓,✓,
qr.py,GPT 5.4,✓,✗,"test_results.test_case_1[0]: tensor values differ; test_results.test_case_1[1]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_2[1]: tensor values differ; test_results.test_case_3[0]: shape (2, 0) != (0,); test_results.test_case_3[1]: tensor values differ; test_results.test_case_4[0]: tensor values differ; test_results.test_case_4[1]: tensor values differ"
normalized_cosine_similarity.py,GPT 5.4,✓,✓,
conv2d.py,GPT 5.4,✗,✗,
fused_instance_norm_selu_conv2d.py,GPT 5.4,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ
fused_gather_masked_fill.py,GPT 5.4,✗,✗,
fused_add_mul_groupnorm.py,GPT 5.4,✗,✗,
relu_batch_norm_conv2d.py,GPT 5.4,✗,✗,reference execution failed
trunc.py,GPT 5.4,✓,✓,
cos.py,GPT 5.4,✓,✓,
